"ID";"Regions";"Periods";"NumberOfMuseums_1";"UpTo2500Visits_2";"Between2500And10000Visits_3";"Between10000And25000Visits_4";"Between25000And50000Visits_5";"Between50000And100000Visits_6";"k_100000AndMoreVisits_7";"TotalVisits_8";"PaidVisits_9";"MuseumCardAndFreeVisits_10";"AverageNumberOfVisitsPerMuseum_11";"ForeignVisits_12";"TotalEmployees_13";"OnPayroll_14";"OtherPaidStaff_15";"TotalFTE_16";"OnPayroll_17";"OtherPaidStaff_18";"NumberOfVolunteers_19";"FTEs_20"
"82";"PV26";"1999JJ00";"      42";"      31";"      26";"      17";"       7";"      12";"       7";"     993";"     481";"     513";"      24";"     173";"     381";"     348";"      33";"     264";"     248";"      16";"       .";"       ."
"83";"PV26";"2001JJ00";"      45";"      22";"      31";"      22";"       7";"      11";"       7";"    1106";"     572";"     534";"      25";"      92";"     447";"     372";"      75";"     353";"     302";"      51";"    1007";"     133"
"84";"PV26";"2003JJ00";"      42";"      24";"      41";"      14";"       7";"      10";"       5";"     998";"     652";"     346";"      24";"     103";"     377";"     319";"      58";"     266";"     240";"      26";"    1336";"     152"
"85";"PV26";"2005JJ00";"      40";"      25";"      35";"      20";"      10";"       5";"       5";"     971";"     490";"     482";"      24";"     172";"     550";"     420";"     130";"     317";"     283";"      34";"    1293";"     139"
"86";"PV26";"2007JJ00";"      47";"      26";"      34";"      19";"      13";"       4";"       4";"    1123";"     603";"     520";"      24";"      84";"     685";"     450";"     235";"     369";"     323";"      47";"    1492";"     173"
"87";"PV26";"2009JJ00";"      46";"      30";"      39";"      11";"       4";"       7";"       9";"    1617";"     528";"    1089";"      35";"      18";"     640";"     490";"     150";"     415";"     359";"      56";"    1362";"     209"
"88";"PV27";"1995JJ00";"     120";"      17";"      27";"      23";"      12";"       7";"      15";"    7466";"    5340";"    2126";"      62";"       .";"    2075";"    1780";"     295";"    1610";"    1434";"     176";"       .";"       ."
"89";"PV27";"1997JJ00";"     158";"      35";"      24";"      16";"       8";"       6";"      11";"    7143";"    5454";"    1689";"      45";"       .";"    1958";"    1726";"     233";"    1522";"    1333";"     189";"       .";"       ."
"90";"PV27";"1999JJ00";"     152";"      23";"      32";"      21";"       4";"       9";"      11";"    8021";"    5886";"    2134";"      53";"    2085";"    2362";"    2100";"     261";"    1690";"    1560";"     130";"       .";"       ."
"91";"PV27";"2001JJ00";"     157";"      33";"      26";"      17";"       6";"       7";"      10";"    8133";"    6339";"    1795";"      52";"    3103";"    2376";"    2040";"     336";"    1694";"    1501";"     193";"    3518";"     542"
