wals code;name;value;description;latitude;longitude;genus;family;area
brj;Burji;1;Words derived from Sinitic cha;5.5;37.83333333;Highland East Cushitic;Afro-Asiatic;Lexicon
brm;Burmese;3;Others;21;96;Burmese-Lolo;Sino-Tibetan;Lexicon
bur;Burushaski;1;Words derived from Sinitic cha;36.5;74.5;Burushaski;Burushaski;Lexicon
cnt;Cantonese;1;Words derived from Sinitic cha;23;113;Chinese;Sino-Tibetan;Lexicon
ctl;Catalan;2;Words derived from Min Nan Chinese te;41.75;2;Romance;Indo-European;Lexicon
ceb;Cebuano;1;Words derived from Sinitic cha;10;124;Greater Central Philippine;Austronesian;Lexicon
cme;Cham (Eastern);1;Words derived from Sinitic cha;11.33333333;108.5;Malayo-Sumbawan;Austronesian;Lexicon
cha;Chamorro;1;Words derived from Sinitic cha;13.45;144.75;Chamorro;Austronesian;Lexicon
chn;Chantyal;1;Words derived from Sinitic cha;28.58333333;83.41666667;Bodic;Sino-Tibetan;Lexicon
chc;Chechen;1;Words derived from Sinitic cha;43.25;45.83333333;Nakh;Nakh-Daghestanian;Lexicon
cmh;Chemehuevi;2;Words derived from Min Nan Chinese te;34.33333333;-115.1666667;Northern Uto-Aztecan;Uto-Aztecan;Lexicon
che;Cherokee;3;Others;35.5;-83.5;Southern Iroquoian;Iroquoian;Lexicon
cyn;Cheyenne;3;Others;47;-95;Algonquian;Algic;Lexicon
cic;Chichewa;2;Words derived from Min Nan Chinese te;-14;34;Bantu;Niger-Congo;Lexicon
chp;Chipewyan;2;Words derived from Min Nan Chinese te;59;-106;Athapaskan;Na-Dene;Lexicon
chr;Chrau;1;Words derived from Sinitic cha;10.75;107.5;Bahnaric;Austro-Asiatic;Lexicon
crh;Chru;2;Words derived from Min Nan Chinese te;11.5;108.5;Malayo-Sumbawan;Austronesian;Lexicon
chv;Chuvash;1;Words derived from Sinitic cha;55.5;47.5;Turkic;Altaic;Lexicon
ccp;Cocopa;2;Words derived from Min Nan Chinese te;32.33333333;-115;Yuman;Hokan;Lexicon
com;Comorian;1;Words derived from Sinitic cha;-12;44;Bantu;Niger-Congo;Lexicon
cre;Cree (Plains);3;Others;54;-110;Algonquian;Algic;Lexicon
cua;Cua;2;Words derived from Min Nan Chinese te;15.25;108.5;Bahnaric;Austro-Asiatic;Lexicon
cze;Czech;1;Words derived from Sinitic cha;50;15;Slavic;Indo-European;Lexicon
dga;Dagaare;2;Words derived from Min Nan Chinese te;10.5;-2.666666667;Oti-Volta;Niger-Congo;Lexicon
dah;Dahalo;1;Words derived from Sinitic cha;-2.333333333;40.5;Dahalo;Afro-Asiatic;Lexicon
dsh;Danish;2;Words derived from Min Nan Chinese te;56;10;Germanic;Indo-European;Lexicon
dhi;Dhivehi;1;Words derived from Sinitic cha;4.166666667;73.5;Indic;Indo-European;Lexicon
din;Dinka;1;Words derived from Sinitic cha;8.5;28;Western Nilotic;Eastern Sudanic;Lexicon
dio;Diola-Fogny;2;Words derived from Min Nan Chinese te;13;-16.25;Jola;Niger-Congo;Lexicon
dua;Duala;2;Words derived from Min Nan Chinese te;4;9.416666667;Bantu;Niger-Congo;Lexicon
dut;Dutch;2;Words derived from Min Nan Chinese te;52.5;6;Germanic;Indo-European;Lexicon
eng;English;2;Words derived from Min Nan Chinese te;52;0;Germanic;Indo-European;Lexicon
est;Estonian;2;Words derived from Min Nan Chinese te;59;26;Finnic;Uralic;Lexicon
evn;Even;1;Words derived from Sinitic cha;68;130;Tungusic;Altaic;Lexicon
eve;Evenki;1;Words derived from Sinitic cha;56;125;Tungusic;Altaic;Lexicon
ewe;Ewe;2;Words derived from Min Nan Chinese te;6.333333333;0.416666667;Gbe;Niger-Congo;Lexicon
ewo;Ewondo;2;Words derived from Min Nan Chinese te;4;12;Bantu;Niger-Congo;Lexicon
fin;Finnish;2;Words derived from Min Nan Chinese te;62;25;Finnic;Uralic;Lexicon
fre;French;2;Words derived from Min Nan Chinese te;48;2;Romance;Indo-European;Lexicon
fli;Ful (Liptako);3;Others;13.5;0.5;Peul-Serer;Niger-Congo;Lexicon
fua;Fulfulde (Adamawa);1;Words derived from Sinitic cha;9.166666667;13.5;Peul-Serer;Niger-Congo;Lexicon
gml;Gamilaraay;2;Words derived from Min Nan Chinese te;-29.83333333;149.5;Southeastern Pama-Nyungan;Pama-Nyungan;Lexicon
geo;Georgian;1;Words derived from Sinitic cha;42;44;Kartvelian;Kartvelian;Lexicon
ger;German;2;Words derived from Min Nan Chinese te;52;10;Germanic;Indo-European;Lexicon
grt;Gorontalo;2;Words derived from Min Nan Chinese te;0.5;122;Greater Central Philippine;Austronesian;Lexicon
grk;Greek (Modern);1;Words derived from Sinitic cha;39;22;Greek;Indo-European;Lexicon
gdl;Guadeloupe Creole;2;Words derived from Min Nan Chinese te;16.25;-61.5;Creoles and Pidgins;other;Lexicon
gua;Guaraní;2;Words derived from Min Nan Chinese te;-26;-56;Maweti-Guarani;Tupian;Lexicon
guj;Gujarati;1;Words derived from Sinitic cha;23;72;Indic;Indo-European;Lexicon
hau;Hausa;1;Words derived from Sinitic cha;12;7;West Chadic;Afro-Asiatic;Lexicon
haw;Hawaiian;3;Others;19.58333333;-155.5;Oceanic;Austronesian;Lexicon
