"ID";"Regions";"Periods";"NumberOfOrganisations_1";"TheatreHalls_2";"StadiumsAndMultiPurposeHalls_3";"InTheatreHalls_4";"InStadiumsAndMultiPurposeHalls_5";"TotalPerformances_6";"TheatrePerformances_7";"MusicalPerformances_8";"DancePerformances_9";"MusicTheatrePerformances_10";"CabaretPerformances_11";"OtherPerformances_12";"TotalAttendance_13";"TheatrePerformances_14";"MusicalPerformances_15";"DancePerformances_16";"MusicTheatrePerformances_17";"CabaretPerformances_18";"AttendanceOtherPerformances_19"
"177";"PV22   ";"2001JJ00";"       9";"      13";"       9";"    3939";"    1400";"     647";"     206";"     182";"      26";"      78";"     115";"      40";"     173";"      34";"      48";"       4";"      32";"      41";"      13"
"178";"PV22   ";"2002JJ00";"       9";"      13";"       9";"    3939";"    1400";"     637";"     182";"     200";"      24";"      79";"     134";"      19";"     186";"      29";"      54";"       5";"      43";"      45";"      11"
"179";"PV22   ";"2003JJ00";"       8";"       9";"       .";"    3669";"       .";"     738";"     216";"     205";"      59";"      69";"     126";"      64";"     186";"      39";"      55";"       9";"      30";"      36";"      18"
"180";"PV22   ";"2004JJ00";"       8";"       9";"       .";"    3604";"       .";"     642";"     128";"     175";"      24";"     138";"     137";"      40";"     183";"      25";"      42";"       5";"      55";"      44";"      12"
"181";"PV22   ";"2005JJ00";"       7";"      11";"       3";"    3622";"    1350";"     968";"     215";"     264";"      59";"     140";"     203";"      88";"     240";"      33";"      57";"       9";"      51";"      63";"      26"
"182";"PV22   ";"2006JJ00";"       7";"      12";"       2";"    3737";"    1100";"    1179";"     342";"     241";"      59";"     112";"     241";"     184";"     241";"      37";"      48";"      11";"      33";"      63";"      49"
"183";"PV22   ";"2007JJ00";"       7";"      12";"       2";"    3717";"    1100";"    1166";"     285";"     256";"      76";"      98";"     238";"     212";"     234";"      33";"      50";"      11";"      30";"      60";"      50"
"184";"PV22   ";"2008JJ00";"       7";"      12";"       1";"    5108";"     800";"    1047";"     197";"     282";"      44";"      77";"     221";"     227";"     228";"      29";"      60";"       8";"      22";"      66";"      43"
"185";"PV22   ";"2009JJ00";"       7";"      11";"       2";"    3718";"      80";"     911";"     199";"     250";"      81";"     128";"     155";"      99";"     216";"      28";"      53";"      11";"      62";"      41";"      21"
"186";"PV22   ";"2010JJ00";"       7";"      12";"       2";"    3788";"    1300";"    1061";"     344";"     274";"      47";"     119";"     203";"      74";"     212";"      49";"      61";"       9";"      31";"      48";"      14"
"187";"PV22   ";"2011JJ00";"       6";"       9";"       2";"    3096";"      80";"     873";"     193";"     242";"      40";"      63";"     169";"     165";"     171";"      25";"      49";"       7";"      18";"      42";"      30"
"188";"PV22   ";"2012JJ00";"       7";"      11";"       2";"    4385";"    2000";"     753";"     162";"     194";"      53";"      68";"     164";"     111";"     166";"      22";"      49";"       9";"      18";"      46";"      22"
"189";"PV22   ";"2013JJ00";"       9";"      14";"       2";"    4865";"    2000";"    1244";"     335";"     402";"      59";"     115";"     214";"     118";"     390";"      74";"      98";"      21";"      87";"      72";"      39"
"190";"PV22   ";"2014JJ00";"      10";"      14";"       0";"    4552";"       0";"    1113";"     357";"     283";"      73";"      77";"     217";"     105";"     222";"      44";"      67";"      13";"      21";"      56";"      21"
"191";"PV22   ";"2015JJ00";"      10";"      16";"       0";"    4732";"       0";"    1250";"     437";"     312";"      34";"     105";"     219";"     143";"     230";"      48";"      75";"       6";"      26";"      54";"      21"
"192";"PV22   ";"2016JJ00";"       8";"      13";"       0";"    4290";"       0";"     976";"     205";"     291";"      35";"      63";"     194";"     188";"     226";"      27";"      64";"       6";"      18";"      55";"      56"
"193";"PV22   ";"2017JJ00";"       8";"      12";"       0";"    4387";"       0";"     928";"     210";"     231";"      26";"      82";"     150";"     230";"     198";"      27";"      56";"       5";"      27";"      42";"      40"
"194";"PV22   ";"2018JJ00";"       7";"      12";"       0";"    4465";"       0";"     858";"     128";"     203";"      16";"     128";"     164";"     220";"     213";"      20";"      60";"       3";"      38";"      47";"      43"
"195";"PV22   ";"2019JJ00";"       7";"      12";"       0";"    4465";"       0";"     888";"     129";"     199";"      22";"     121";"     174";"     242";"     211";"      21";"      61";"       4";"      36";"      51";"      38"
"196";"PV22   ";"2020JJ00";"       7";"      11";"       2";"    4505";"       0";"     460";"      73";"     108";"      14";"     106";"      86";"      72";"      96";"      11";"      19";"       3";"      15";"      23";"      25"
"197";"PV22   ";"2021JJ00";"       7";"      12";"       0";"    4132";"       0";"     309";"      60";"      75";"      20";"      43";"      77";"      33";"      37";"       6";"      10";"       .";"       .";"      11";"       3"
"198";"PV22   ";"2022JJ00";"       7";"      12";"       .";"    4550";"       .";"     627";"     120";"     229";"      22";"      65";"     126";"      65";"     111";"      12";"      47";"       2";"      14";"      29";"       7"
"199";"PV22   ";"2023JJ00";"       7";"      12";"       .";"    4543";"       .";"     752";"     131";"     258";"      19";"      97";"     167";"      80";"     224";"      25";"      86";"       .";"      32";"      55";"       ."
"200";"PV23   ";"1999JJ00";"      26";"      40";"      15";"   16240";"   28324";"    2604";"     662";"     752";"     222";"     277";"     491";"     201";"    1036";"     121";"     405";"      89";"     132";"     158";"     131"
"201";"PV23   ";"2000JJ00";"      25";"      38";"      15";"   15113";"   28324";"    2725";"     724";"     762";"     188";"     249";"     442";"     359";"    1009";"     116";"     397";"      85";"     118";"     155";"     139"
